id,author,description,clean
963,@misselalay2931,"Hahahaha.....trus gimana dengan cap HALALnya, kan sdh di cap halal, kenapa mau di boikot² segala, kenapa sebelum di cap halal di boikot, ini mau merugikan perusahaan yg di boikot, ingat.....ada berapa orang Jadi pengangguran jika kalian lakukan hal yg TDK pantas begitu",hahahahatrus gimana dengan cap halalnya kan sdh di cap halal kenapa mau di boikot segala kenapa sebelum di cap halal di boikot ini mau merugikan perusahaan yg di boikot ingatada berapa orang jadi pengangguran jika kalian lakukan hal yg tdk pantas begitu
964,@cettaramaniya,Semua Produk indo dukung Palestina semua kok kecuali import dari luar negeri,semua produk indo dukung palestina semua kok kecuali import dari luar negeri
965,@cristoperteguh1825,Gimana nasib karyawan nya yang udah di usia 40 tahun ke atas? Apakah bisa mendapatkan pekerjaan dengan mudah dan mendapatkan gaji yang layak dari sebelumnya?,gimana nasib karyawan nya yang udah di usia tahun ke atas apakah bisa mendapatkan pekerjaan dengan mudah dan mendapatkan gaji yang layak dari sebelumnya
966,@nunjauh,Kita sama saja Merusak Pekerjaan saudara2 kita yg bekerja dipabrik tersebut,kita sama saja merusak pekerjaan saudara kita yg bekerja dipabrik tersebut
967,@imanuelsihombing3928,sekalian lengtop nya di sita semua hp juga msh byk lagi jgn di pakai lagi 😂😂,sekalian lengtop nya di sita semua hp juga msh byk lagi jgn di pakai lagi
969,@ahmadfauzimilanriziek1287,Regulasi indonesia sudah mempermudah Pekerja Di PHK sepihak kak Saya rasa baguslah Fatwa Ulama terkait Boikot. Mengamalkan UU dasar 1945 dan berproses agar Pengusaha Lokal jadi berkembang,regulasi indonesia sudah mempermudah pekerja di phk sepihak kak saya rasa baguslah fatwa ulama terkait boikot mengamalkan uu dasar dan berproses agar pengusaha lokal jadi berkembang
970,@wongkampung8740,"Kok negaraku orangnya aneh"" banget sih",kok negaraku orangnya aneh banget sih
971,@wendydwiviana8658,Bos kalau begitu GMN NASIB KARYAWAN NYA BUKAN KAH MEREKA ORG INDONESIA DAN UMAT ISLAM JUGA ????!!!!,bos kalau begitu gmn nasib karyawan nya bukan kah mereka org indonesia dan umat islam juga
972,@agamkurniawan8648,Kalo udah banyak yang nganggur baru tau rasa 😂,kalo udah banyak yang nganggur baru tau rasa
974,@Biawak_kampung,Lah pemerintahan aja be like,lah pemerintahan aja be like
