id,author,description
211,@Republic_of_Aceh,"Semenjak ad produk boikot dri israel kasian yg di alfamart,Indomaret,supermarket gk laku gra² ini kasian kan mcd jdi sepi soalny dia buatan israel,jajanan indomaret, Alfamart, minimarket jdi gk ad yg beli udhh kelarin aj gini deh yg penting halal dan bisa buat mandi dan buat cuci piring dan minum udh inti ny gitu pada sepi gra² ini udh jangan pake baikot²an yg penting halal buat makan dan minuman trs buat cuci piring dan buat mandi udh gitu aj"
212,@bahriasula8853,Kak aku cuma pengen ngasih tau kalo beli sesuatu jangan dijadikan konten yang mengait kan palestina apalagi karena yang punya produk akan rugi karena orang tidak mau membeli produk nya.
213,@CVKT-tk3ot,Kak semua yang ada di sana kan itu di bikin di mana itu kan di bikin dijakarta huuu
214,@alwanhaidar7073,Smua SM aj ngga ada yg di bdakn tuhan tidk prnh mmbedkn umt nya.
215,@DhafinHafiz,Ngerekam pake hp apa coba? Apakah juga buatan israel?😂
216,@zunirahmawati7106,afaiya jangan sok tau deh jangan bikin aku ngamuk aja😂
217,@eriksudrajat294,"Bukan produknya tapi apk sosmed pula ada bro,sbenernya susah juga. Berdoa aj semoga allah memberikan keajaiban kepada kaum muslim,karena aku percaya kepada allah kebesaranMU sungguh dahsyat."
218,@bintangmurai5299,Lu aja masih pake YouTube dkk...😂😂😂😂😂 Tolol... Hahahaha Produk2 itu punya org indo... Di boikot sendiri.... Hahaha😅😅😅😅
221,@tamamthegamerman290,Woi jangan post di YouTube karena YouTube dari Amerika dan Amerika dukung israel.sono pindah ke tiktok lagian lu ngapain sih sok sok an boikot boikot produk Israel lagian lu harusnya memanfaatkan produk yang di jual untuk di jadiin bantuan suplai makanan ke Palestina ubah cara pikir lu
222,@muhammadhidayat6647,Tapi kita butuh barangnya
224,@imamzsuebannyuu,Sebenarnya semua produk itu bukan dari Israel... Semua produk itu di produksi di dalam negeri ini.. karyawan nya juga orang pribumi.. kalo kalian boikot produk nanti pabrik nya bangkrut bakal banyak yg kehilangan pekerjaan... Malah bikin sensara rakyat kita sendiri Israel hanya punya labbel nya ... Kalo produk semua produksi di dalam negeri
225,@dinahayati137,Cangcut ge jangan semua juga jangan
226,@wahyuniirahayu6509,"Kalo boikot israel jangan pake youtube juga dong,"
227,@wahyuniirahayu6509,Bodoh
228,@Mz_Chill,"Saya sebagai pendukung Israel, tidak punya hati busuk tidak seperti orang yang membuat konten ini🤭 lebih baik saya perbanyakkan berdoa kepada Allah. Tiada masa untuk burukkan bisnes orang🤭 Israel sentiasa dalam pelindungan Allah❤"
229,@ahmadkumaidi,Konten yg bikin bingung masyarakat..sana bilang aja sama menteri perdagangan dan perindustrian suruh stop aja
230,@gandostapepa7043,"Ya udah makan ketela aja dan nggak usah mandi ,gitu aja repot"
231,@user-lt5lq8zx6c,Sari wangi bukan produk Israel bukan bermaksud dukung israel tapi sari wangi produk Indonesia jangan sok tau maaf
232,@vitoalfatih2557,Bukan begitu kansudah dipastikan ada tulisan halal atau bpom kan produk nya boleh dibeli saya aja beli aqua aja gkpp kita menyebut israel itu yahudi karnadulu jaman nabi musa kaumnya bani israil
233,@nainunis3686,Bang tolong kasih tau apa-apa aja logo logo produk Israel
234,@user-sx3dx2my5y,Pembodohan.karakter.
235,@sintaalexcne,"kalau sudah punya produk produk yg di "" BOIKOT "" karena membela Israel. tolong sekali jagan di buang, kalau sudah tau BOIKOT jagan di beli, karena barang yg sudah dibeli lalu di buang tidak berdampak bagi Israel, Palestina, dan perusahaan tsb. sedangkan support itu harus berdampak, sedangkan banyak sekali yg membakar produk produk tersebut yg ada merusak dan pencemaran lingkungan indonesia. FREE PALESTINE !"
236,@jaenalarifin521,Itu camera buatan siapa?
237,@foxygd3634,Woy aku pakek barang barang nya😭😭😭
238,@aitheaaithea4425,Mkcihh pncerahnny bang😢😢
239,@rsgaming-vo4yb,Yang penting halal
240,@vinavinaa8487,Ka kenapa yang gaboleh masih ada di iklan
